127.0.0.1 - - [14/Mar/2023:09:01:26 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:01:28 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:01:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:01:33 +0530] "GET /NGO_Application/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:01:36 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:01:56 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:01:58 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:02:26 +0530] "POST /NGO_Application/in HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:02:33 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:05 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:06 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:06 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:06 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:06 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:07 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:15 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:15 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:26 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:27 +0530] "POST /NGO_Application/in HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:42 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:03:42 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:05:58 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:06:45 +0530] "POST /NGO_Application/in HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:06:45 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:06:50 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:07:20 +0530] "POST /NGO_Application/in HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:07:20 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:07:22 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:30 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:32 +0530] "POST /NGO_Application/in HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:06 +0530] "POST /NGO_Application/in HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:06 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:28:09 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:28:09 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:28:13 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:28:21 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1347
