127.0.0.1 - - [21/Apr/2023:20:07:23 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:07:25 +0530] "GET /NGO_Application/ HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:07:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:07:37 +0530] "GET /NGO_Application/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:07:37 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:08:14 +0530] "POST /NGO_Application/in HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:08:18 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:08:18 +0530] "GET /NGO_Application/footer.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:08:26 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:08:27 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:08:35 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:13:50 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:13:54 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:13:57 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:14:13 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:14:15 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:14:16 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:14:16 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:04 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:05 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:05 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:06 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:47 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:49 +0530] "GET /NGO_Application/Home.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:15:53 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:16:18 +0530] "GET /NGO_Application/Home.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:16:21 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:16:24 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Apr/2023:20:16:30 +0530] "GET /NGO_Application/Home.jsp HTTP/1.1" 200 2040
